Timestamp,Title,URL/DOI (please check DOI by collating DOI at the end of https://doi.org/  ),Provider/Creators,Material Type (see: https://help.oercommons.org/support/solutions/articles/42000046908-material-types for Glossary of terms),Education Level,Abstract,Language,Conditions of Use,Primary User,Subject Areas,FORRT Clusters  | see: https://forrt.org/clusters,"User Tags (separate by comma if more than one; capitalize each word, except for prepositions)"
2020-05-06T14:52:48.000Z,Replication and Open Science for Undergraduates,https://funderstorms.wordpress.com/2018/05/10/replication-and-open-science-for-undergraduates/,David Funder,Reading,"College / Upper Division (Undergraduates), Graduate / Professional",Blog post going over the replication crisis and how it has led to the open science movement.,English,I don't see any of these,"Student, Teacher","Applied Science, Life Science, Math & Statistics, Social Science",,"Blog,Open Science,Reproducibility Crisis and Credibility Revolution"
10/7/2020 16:08:25,Course materials,https://www.projecttier.org/tier-classroom/course-materials/,Project Tier,"Module, Syllabus",College / Upper Division (Undergraduates),"Learn about courses, in a wide range of fields at a variety of institutions, where principles and resources from Project TIER have been used to teach transparent research methods.",English,I don't see any of these,Student,"Applied Science, Math & Statistics, Social Science","Reproducibility and Replicability Knowledge, Conceptual and Statistical Knowledge",Reproducibility Crisis and Credibility Revolution; Open Science; Conceptual and statistical knowledge
10/12/2020 12:58:25,Data Management and Data Sharing in Psychological Science: Revision of the DGPs Recommendations,https://psyarxiv.com/24ncs/,"Mario Gollwitzer, Andrea Abele-Brehm, Christian Fiebach, Roland Ramthun, Anne Scheel, Felix Schönbrodt, Ulf Steinberg",Reading,College / Upper Division (Undergraduates),"Providing access to research data collected as part of scientific publications and publicly funded research projects is now regarded as a central aspect of an open and transparent scientific practice and is increasingly being called for by funding institutions and scientific journals. To this end, researchers should strive to comply with the so-called FAIR principles (of scientific data management), that is, research data should be findable, accessible, interoperable, and reusable. Systematic data management supports these goals and, at the same time, makes it possible to achieve them efficiently. With these revised recommendations on data management and data sharing, which also draw on feedback from a 2018 survey of its members, the German Psychological Society (Deutsche Gesellschaft für Psychologie; DGPs) specifies important basic principles of data management in psychology. Initially, based on discipline-specific definitions of raw data, primary data, secondary data, and metadata, we provide recommendations on the degree of data processing necessary when publishing data. We then discuss data protection as well as aspects of copyright and data usage before defining the qualitative requirements for trustworthy research data repositories. This is followed by a detailed discussion of pragmatic aspects of data sharing, such as the differences between Type 1 and Type 2 data publications, restrictions on use (embargo period), the definition of ""scientific use"" by secondary users of shared data, and recommendations on how to resolve potential disputes. Particularly noteworthy is the new recommendation of distinct ""access categories"" for data, each with different requirements in terms of data protection or research ethics. These range from completely open data without usage restrictions (""access category 0"") to data shared under a set of standardized conditions (e.g., reuse restricted to scientific purposes; ""access category 1""), individualized usage agreements (""access category 2""), and secure data access under strictly controlled conditions (e.g., in a research data center; “access category 3""). The practical implementation of this important innovation, however, will require data repositories to provide the necessary technical functionalities. In summary, the revised recommendations aim to present pragmatic guidelines for researchers to handle psychological research data in an open and transparent manner, while addressing structural challenges to data sharing solutions that are beneficial for all involved parties.",English,CC BY,Student,Social Science,Open Data and Materials,Open data
10/13/2020 9:15:36,Teaching replicable and reproducible science,https://osf.io/x7d45/,Kirsten Lane et al.,"Module, Teaching/Learning Strategy","College / Upper Division (Undergraduates), Graduate / Professional","Participants will develop materials for teaching replicability and reproducible science. Possible materials to be generated include syllabi, specific assignments, or single lectures or lesson plans. We will provide existing teaching materials and structured activities designed to help participants define learning goals, develop teaching resources to facilitate those goals, and to create appropriate learning assessments.",English,I don't see any of these,Teacher,Social Science,Conceptual and Statistical Knowledge,Teaching
10/16/2020 6:20:13,CREP tutorials,https://www.youtube.com/playlist?list=PLECcejm-vUj-kOyCGXxN2TeAFTRFj1HU1,Dr Jordan Wagge,Videos,College / Upper Division (Undergraduates),This playlist was created to help students and their instructors complete CREP projects.,English,I don't see any of these,"Student, Teacher","Applied Science, Social Science","Reproducibility and Replicability Knowledge, Replication Research",Reproducibility and replicability
10/16/2020 6:22:33,"Open Research:  Examples of good practice, and resources across disciplines",https://docs.google.com/document/d/1Vblnwym18kX2tmL3VcooSdN1CLg3xkppARGCGB39lvw/edit,"Emily K Farran, Priya Silverstein, Camilla Gilmore",Reading,"College / Upper Division (Undergraduates), Adult Education","This is a document about open science across disciplines, together with resources to these disciplines.",English,I don't see any of these,"Student, Teacher","Applied Science, Social Science",Open Data and Materials,Open science
10/17/2020 17:43:27,The p-value misconception eradication challenge,http://daniellakens.blogspot.com/2020/10/the-p-value-misconception-eradication.html,Daniel Lakens,Reading,College / Upper Division (Undergraduates),"If you have educational material that you think will do a better job at preventing p-value misconceptions than the material in my MOOC, join the p-value misconception eradication challenge by proposing an improvement to my current material in a new A/B test in my MOOC.",English,I don't see any of these,"Student, Teacher","Applied Science, Math & Statistics, Social Science",Conceptual and Statistical Knowledge,Teaching
10/20/2020 8:05:06,Managing Qualitative Social Science Data,https://managing-qualitative-data.org/,Anon,"Interactive, Lesson, Module",College / Upper Division (Undergraduates),A website with modules and lessons on qualitative research and data management,English,I don't see any of these,Student,"Applied Science, Social Science",Reproducibility and Replicability Knowledge,Qualitative research
10/24/2020 9:10:15,Taking stock of the credibility revolution: Scientific reform 2011-no,https://doi.org/10.13140/RG.2.2.21721.47200/1,Gilad Feldman,Reading,"College / Upper Division (Undergraduates), Graduate / Professional",A book about the credibility revolution,English,I don't see any of these,"Student, Teacher","Applied Science, Social Science","Reproducibility and Replicability Knowledge, Reproducible Analyses, Replication Research",Credibility revolution
10/25/2020 3:00:22,Science Literacy,https://www.coursera.org/learn/science-literacy,University of Alberta,Full Course,"College / Upper Division (Undergraduates), Graduate / Professional, Adult Education","Fake news or good science? In a world where we have access to unlimited information, it is hard to sift through the echo chamber of opinions fueled by emotions and personal biases, rather than scientific evidence. Science Literacy will teach you about the process of science, how to think critically, how to differentiate science from pseudoscience, how indigenous wisdom can inform science, how to understand and design a scientific study, and how to critically evaluate scientific communication in the media. Every module will build your new skill-base with real life examples, and at the end of each module you will have to apply these skills to scientific questions, talking points and controversies in the world. Warning: this course requires an open mind and the ability to self-reflect.",English,I don't see any of these,"Student, Parent, Laypeople","Applied Science, Social Science",Conceptual and Statistical Knowledge,Scientific communication
